id,brand,model,trim,full_name,url,price_tnd,price_original,discount_tnd,has_discount,engine_cc,cv_fiscal,cv_din,torque_nm,top_speed_kmh,acceleration_0_100,fuel_type,consumption_mixed,consumption_city,consumption_highway,co2_emissions,fuel_tank_liters,transmission,gearbox_speeds,drivetrain,length_mm,width_mm,height_mm,wheelbase_mm,trunk_liters,weight_kg,body_type,doors,seats,warranty_years,is_electric,is_hybrid,battery_kwh,range_km,is_new,is_populaire,concessionnaire,thumbnail,equipment_safety,equipment_driving_aids,equipment_exterior,equipment_audio,equipment_interior,equipment_functional,scraped_at
audi_a3_berline_35_tfsi_dynamic_edition,Audi,A3 Berline,35 TFSI Dynamic Edition,Audi A3 Berline 35 TFSI Dynamic Edition,https://www.automobile.tn/fr/neuf/audi/a3-berline/35-tfsi-dynamic-edition,159990,,,False,1395,8,150,250,232,8.4,essence,5.4,,,,,automatic,,FWD,4504,1816,1417,,425,,Berline,4,5,3,False,False,,,False,False,,https://catalogue.automobile.tn/big/2025/06/47385.jpg?t=1768210510,"ABS; Airbags: Frontaux, Latéraux, Protège-tête; Alarme antivol; Alerte de franchissement de ligne; Allumage automatique des feux; Anti-démarrage électronique; Anti-patinage: ESP; Contrôle de pression des pneus; Fixations ISOFIX; Kit sécurité: Triangle de présignalisation","Aide au démarrage en côte: Audi hold assist; Aide au stationnement: Radar de recul, Radar avant, Caméra de recul, Parkassist; Détecteur de fatigue; Direction assistée; Limiteur de vitesse; Régulateur de vitesse","Baguettes extérieures d'encadrement des vitres: Aluminium; Boulons de roues protégés; Eléments extérieurs couleur carrosserie; Feux à LED: Feux de jour, Avant, Arrières, Clignotants à défilement; Jantes: En aluminium, 17''; Phares: Full LED, Adaptatifs, Signature LED","Autoradio: MMI Radio Plus, Commandes au volant; Connectivité: USB, USB-C, Android Auto, Apple Carplay, Bluetooth, Commande vocale, Chargeur de téléphone sans fil; Ecran central: Tactile, 10.1 pouces","Accoudoirs: Avant; Finition intérieure: Style aluminium, Applications décoratives en peinture fine Gris Volcan; Lumières d'ambiance: LED; Sellerie: Tissu; Seuils de portes: Aluminium; Sièges: Chauffants, Réglage lombaire; Sièges réglables en hauteur: Conducteur et passager; Tapis de sol; Toit: Panoramique, En verre; Vitres: Parebrise athermique, Lunette et vitres arrières sur-teintées; Volant: Cuir, Multi-fonctions, Avec palettes; Volant réglable: En hauteur et en profondeur","Bouton Start & Stop: Démarrage mains libres; Clé intelligente: Accès mains libres; Coffre à bagages: Ouverture mains libres; Climatisation: Automatique, 3 zones, Ventilation arrière; Détecteur de pluie; Fermeture centralisée: À distance; Frein de stationnement: Éléctrique; Ordinateur de bord; Rétroviseurs extérieurs: Électriques, Rabattables, Dégivrants, Photosensibles, Avec clignotants intégrés; Rétroviseur intérieur: Anti-éblouissement, Sans Cadre; Système Start & Stop; Instrumentation digitale: Audi Virtual Cockpit, 10.25 pouces; Version pays chauds; Vitres électriques: Avant/Arrière",2026-04-14T23:29:20.827857
audi_q2_35_tfsi_black_limited_bva,Audi,Q2,35 TFSI Black Limited BVA,Audi Q2 35 TFSI Black Limited BVA,https://www.automobile.tn/fr/neuf/audi/q2/35-tfsi-bva-black-limited,145000,,,False,1395,8,150,250,218,8.6,essence,6.0,6.9,5.8,,,automatic,,FWD,4191,1794,1508,,405,,SUV,5,5,3,False,False,,,False,False,,https://catalogue.automobile.tn/big/2026/01/47572.png?t=1769004481,"ABS; Airbags: Frontaux, Latéraux, Protège-tête; Alarme antivol: Anti-soulèvement; Allumage automatique des feux; Anti-patinage: ESP; Anti-démarrage électronique; Fixations ISOFIX; Kit sécurité: Triangle de présignalisation","Aide au stationnement: Radar de recul, Radar avant, Caméra de recul; Direction assistée: Progressive; Régulateur de vitesse","Calandre: Contour chromé; Eléments extérieurs couleur carrosserie; Feux à LED: Feux de jour, Avant, Arrières; Jantes: En aluminium, 17''; Phares: LED","Autoradio: 10 haut-parleurs, MMI Radio Plus, MMI Touch, Commandes au volant, Système Audio Audi (180W); Connectivité: 2 USB-C, Android Auto, Apple Carplay, Bluetooth; Ecran central: 8.8 pouces","Accoudoirs: Avant; Finition intérieure: Format graphique lumineux, Style aluminium; Lumières d'ambiance; Sellerie: Tissu; Seuils de portes: Aluminium, Eclairés; Sièges réglables en hauteur: Conducteur et passager; Tapis de sol; Toit: Ouvrant, Panoramique; Vitres: Parebrise athermique, Lunette et vitres arrières sur-teintées, Acoustiques; Volant: Cuir, 3 branches, Multi-fonctions, à méplat; Volant réglable: En hauteur et en profondeur","Bouton Start & Stop: Démarrage mains libres; Clé intelligente: Accès mains libres; Coffre à bagages: Ouverture et fermeture motorisées; Climatisation: Automatique; Détecteur de pluie; Fermeture centralisée: À distance; Ordinateur de bord; Rétroviseur intérieur: Anti-éblouissement, Sans Cadre; Système Start & Stop; Rétroviseurs extérieurs: Électriques, Rabattables, Dégivrants, Photosensibles; Instrumentation digitale: Audi Virtual Cockpit, 12.3 pouces; Version pays chauds; Vitres électriques: Avant/Arrière",2026-04-14T23:29:21.733463
audi_q3_sportback_35_tfsi_business_limited_plus_s_tronic,Audi,Q3 Sportback,35 TFSI Business Limited Plus S-tronic,Audi Q3 Sportback 35 TFSI Business Limited Plus S-tronic,https://www.automobile.tn/fr/neuf/audi/q3-sportback/35-tfsi-s-tronic-business-limited-plus,199000,,,False,1498,9,150,250,205,9.4,essence,5.8,6.9,5.1,129,,automatic,,FWD,4500,1843,1576,,530,,SUV,5,5,3,False,False,,,False,False,,https://catalogue.automobile.tn/big/2025/06/47407.jpg?t=1768043896,"ABS; Airbags: Frontaux, Latéraux, Protège-tête; Alarme antivol; Allumage automatique des feux; Anti-démarrage électronique; Anti-patinage: ESP; Fixations ISOFIX; Kit sécurité: Triangle de présignalisation","Aide au démarrage en côte: Audi hold assist; Aide au stationnement: Radar de recul, Radar avant, Caméra de recul, Audi Parking System Plus; Direction assistée: Progressive; Régulateur de vitesse; Système de descente en côte","Baguettes extérieures d'encadrement des vitres: Noir Brillant; Calandre: Noire; Boulons de roues protégés; Eléments extérieurs couleur carrosserie; Feux à LED: Feux de jour, Avant, Arrières, Clignotants à défilement; Jantes: En aluminium, 18''; Peinture: Métallisée; Phares: LED","Autoradio: 10 haut-parleurs, MMI Radio Plus, Commandes au volant, Système Audio Audi (180W); Connectivité: 2 USB-C, Android Auto, Apple Carplay, Bluetooth, Commande vocale, Chargeur de téléphone sans fil; Ecran central: Tactile, 8.8 pouces","Accoudoirs: Avant; Ciel de pavillon: Noir, Tissu; Finition intérieure: Aluminium brossé, Argent micrométallique; Kit fumeurs; Lumières d'ambiance: 30 Couleurs; Pommeau de levier de vitesse: Cuir; Sellerie: Cuir/similicuir; Sièges: Électriques, Réglage lombaire; Sièges réglables en hauteur: Conducteur et passager; Tapis de sol; Toit: Ouvrant, Panoramique; Vitres: Parebrise athermique, Lunette et vitres arrières sur-teintées, Acoustiques; Volant: Cuir, 3 branches, Multi-fonctions; Volant réglable: En hauteur et en profondeur","Alimentation électrique: 1 prise 12 V; Bouton Start & Stop: Démarrage mains libres; Clé intelligente: Accès mains libres; Coffre à bagages: Ouverture et fermeture motorisées; Climatisation: Automatique, Bizone; Détecteur de pluie; Fermeture centralisée: À distance; Modes de conduite: Audi Drive Select; Ordinateur de bord; Rétroviseurs extérieurs: Électriques, Rabattables, Dégivrants; Rétroviseur intérieur: Anti-éblouissement, Sans Cadre; Instrumentation digitale: 10.25 pouces; Version pays chauds; Vitres électriques: Avant/Arrière",2026-04-14T23:29:21.480516
audi_a5_tfsi_advanced,Audi,A5,TFSI Advanced,Audi A5 TFSI Advanced,https://www.automobile.tn/fr/neuf/audi/a5-berline/tfsi-advanced,249000,,,False,1984,8,150,280,216,9.8,essence,7.3,,,,,automatic,,FWD,4829,1860,1444,,445,,Berline,5,5,3,False,False,,,False,False,,https://catalogue.automobile.tn/big/2025/10/47488.jpg?t=1768210542,"ABS; Airbags: Frontaux, Latéraux, Rideaux, Centraux; Alarme antivol; Alerte de franchissement de ligne; Allumage automatique des feux; Anti-démarrage électronique; Anti-patinage: ESP; Assistance au freinage: AFU; Contrôle de pression des pneus; Fixations ISOFIX; Kit sécurité: Triangle de présignalisation","Aide au maintien dans la voie; Aide au stationnement: Radar de recul, Radar avant, Système de caméras 360, Audi Parking System Plus, Détection du trafic en marche arrière; Alerte de circulation transversale; Détecteur de fatigue; Direction assistée; Régulateur de vitesse: Adaptatif (ACC)","Boulons de roues protégés; Feux à LED: Feux de jour, Avant, Arrières, Clignotants à défilement; Jantes: En aluminium, 18''; Kit carrosserie: Advanced; Lave Phares; Phares: Audi Matrix LED","Autoradio: MMI Radio, Commandes au volant; Connectivité: USB, Android Auto, Apple Carplay, Bluetooth, Commande vocale, Chargeur de téléphone sans fil; Ecran central: Tactile, Curved Display, 14.5 pouces","Accoudoirs: Avant; Ciel de pavillon: Noir, Tissu; Finition intérieure: Inserts décoratifs en aluminium mat brossé Argent; Kit fumeurs; Lumières d'ambiance: LED, 30 Couleurs; Sellerie: Cuir/similicuir; Seuils de portes: Aluminium, Eclairés; Sièges: Électriques, Réglage lombaire, Fonction mémoire; Sièges réglables en hauteur: Conducteur et passager; Tapis de sol; Toit: Panoramique, En verre, Electrochrome; Vitres: Parebrise athermique, Lunette et vitres arrières sur-teintées, Acoustiques; Volant: Cuir, 3 branches, Multi-fonctions, Sport, à méplat, Avec palettes; Volant réglable: En hauteur et en profondeur","Bouton Start & Stop: Démarrage mains libres; Clé intelligente: Accès mains libres; Coffre à bagages: Ouverture et fermeture motorisées; Climatisation: Automatique, 3 zones, Ventilation arrière; Détecteur de pluie; Fermeture centralisée: À distance; Frein de stationnement: Éléctrique; Modes de conduite: Audi Drive Select; Ordinateur de bord; Rétroviseurs extérieurs: Électriques, Rabattables, Dégivrants, Photosensibles, Mémoire de position, Avec clignotants intégrés, Éclairage d'accueil à LED; Rétroviseur intérieur: Anti-éblouissement, Sans Cadre; Instrumentation digitale: Audi Virtual Cockpit, 11.9 pouces; Version pays chauds; Vitres électriques: Avant/Arrière",2026-04-14T23:29:21.700479
audi_a6_sportback_e_tron_100_kwh_performance,Audi,A6 Sportback e-tron,100 kWh Performance,Audi A6 Sportback e-tron 100 kWh Performance,https://www.automobile.tn/fr/neuf/audi/a6-sportback-e-tron/100-kwh-performance,239000,,,False,,9,367,565,210,5.4,electric,,,,,,automatic,,RWD,4928,1923,1487,,502,,Berline,5,5,3,True,False,100.0,673,False,False,,https://catalogue.automobile.tn/big/2025/10/47486.png?t=1774958638,"ABS; Airbags: Frontaux, Latéraux, Rideaux; Alarme antivol; Alerte de franchissement de ligne; Allumage automatique des feux; Anti-démarrage électronique; Anti-patinage; Assistance au freinage: AFU; Contrôle de pression des pneus; Fixations ISOFIX; Kit sécurité: Triangle de présignalisation","Aide au maintien dans la voie; Aide au stationnement: Radar de recul, Radar avant, Système de caméras 360, Audi Parking System Plus, Détection du trafic en marche arrière; Alerte de circulation transversale; Détecteur de fatigue; Direction assistée; Limiteur de vitesse; Régulateur de vitesse: Adaptatif (ACC)","Baguettes extérieures d'encadrement des vitres: Noir Brillant; Boulons de roues protégés; Feux à LED: Feux de jour, Avant, Clignotants à défilement, Arrières OLED; Jantes: En aluminium, 20''; Kit carrosserie: Advanced; Lave Phares; Phares: Audi Matrix LED, Signature LED","Autoradio: Haut-parleurs Bang & Olufsen, MMI Panoramic Display; Connectivité: USB, USB-C, Android Auto, Apple Carplay, Bluetooth, Commande vocale, Chargeur de téléphone sans fil; Ecran central: Tactile, Curved Display, 14.5 pouces; Ecran passager","Accoudoirs: Avant; Ciel de pavillon: Noir, Tissu; Finition intérieure: Inserts décoratifs en aluminium Anthracite mat brossé; Kit rangement; Lumières d'ambiance: LED, 30 Couleurs; Sellerie: Cuir/similicuir; Seuils de portes: Aluminium, Eclairés; Sièges: Électriques, Chauffants, Réglage lombaire, Fonction mémoire; Sièges réglables en hauteur: Conducteur et passager; Tapis de sol; Tableau de bord: Cuir; Toit: Panoramique, En verre, Electrochrome; Vitres: Parebrise athermique, Lunette et vitres arrières sur-teintées, Acoustiques; Volant: Cuir, Chauffant, Multi-fonctions, Sport, à méplat, Réglage électrique, Avec palettes; Volant réglable: En hauteur et en profondeur","Affichage tête haute: Avec réalité augmentée; Bouton Start & Stop: Démarrage mains libres; Clé intelligente: Accès mains libres; Coffre à bagages: Ouverture et fermeture motorisées; Climatisation: Automatique, 3 zones, Ventilation arrière; Détecteur de pluie; Fermeture assistée des portes: Soft close; Fermeture centralisée: À distance; Frein de stationnement: Éléctrique; Modes de conduite: Audi Drive Select; Ordinateur de bord; Rétroviseurs extérieurs: Électriques, Rabattables, Dégivrants, Photosensibles, Mémoire de position, Avec clignotants intégrés, Éclairage d'accueil à LED; Rétroviseur intérieur: Anti-éblouissement; Suspension: Pneumatique, Adaptative; Launch Control; Instrumentation digitale: Audi Virtual Cockpit, 11.9 pouces; Version pays chauds; Vitres électriques: Avant/Arrière",2026-04-14T23:29:21.516334
audi_q6_e_tron_100_kwh_quattro_s_line,Audi,Q6 e-tron,100 kWh Quattro S-line,Audi Q6 e-tron 100 kWh Quattro S-line,https://www.automobile.tn/fr/neuf/audi/q6-e-tron/100-kwh-quattro-s-line,259000,,,False,,9,388,855,210,5.9,electric,,,,,,automatic,,AWD,4771,1939,1648,,526,,SUV,5,5,3,True,False,100.0,619,False,False,,https://catalogue.automobile.tn/big/2025/07/47409.png?t=1772984384,"ABS; Airbags: Frontaux, Latéraux, Rideaux; Alarme antivol; Alerte de franchissement de ligne; Allumage automatique des feux; Anti-démarrage électronique; Anti-patinage; Contrôle de pression des pneus; Fixations ISOFIX; Kit sécurité: Triangle de présignalisation","Aide au maintien dans la voie; Aide au stationnement: Radar de recul, Radar avant, Système de caméras 360, Audi Parking System Plus; Alerte de circulation transversale; Détecteur de fatigue; Direction assistée; Limiteur de vitesse; Régulateur de vitesse: Adaptatif (ACC)","Baguettes extérieures d'encadrement des vitres: Pack style Noir; Barres de toit: Noires; Boulons de roues protégés; Feux à LED: Feux de jour, Avant, Arrières, Clignotants à défilement; Jantes: En aluminium, 20''; Kit carrosserie: S-line; Lave Phares; Phares: Audi Matrix LED, Signature LED","Autoradio: Haut-parleurs Bang & Olufsen, MMI Panoramic Display; Connectivité: USB, USB-C, Android Auto, Apple Carplay, Bluetooth, Commande vocale, Chargeur de téléphone sans fil; Ecran central: Tactile, 14.5 pouces; Ecran passager","Accoudoirs: Avant; Finition intérieure: Inserts décoratifs en aluminium Anthracite mat brossé; Kit rangement; Lumières d'ambiance: LED, 30 Couleurs; Pédaliers: Acier inoxydable brossé; Sellerie: Cuir/Microfibre Dinamica, Nappa, Surpiqures; Seuils de portes: Aluminium, Eclairés, S-line; Sièges: Électriques, Chauffants, Massants, Réglage lombaire, Fonction mémoire, Avec Appuie-tête intégrés, Sport; Sièges réglables en hauteur: Conducteur et passager; Tapis de sol; Tableau de bord: Cuir; Toit: Panoramique, En verre; Vitres: Parebrise athermique, Lunette et vitres arrières sur-teintées, Acoustiques; Volant: Cuir, 3 branches, Chauffant, Multi-fonctions, Sport, à méplat, Avec palettes; Volant réglable: En hauteur et en profondeur","Affichage tête haute: Avec réalité augmentée; Bouton Start & Stop: Démarrage mains libres; Clé intelligente: Accès mains libres; Coffre à bagages: Ouverture et fermeture motorisées; Climatisation: Automatique, 3 zones, Ventilation arrière; Détecteur de pluie; Fermeture centralisée: À distance; Frein de stationnement: Éléctrique; Modes de conduite: Audi Drive Select; Ordinateur de bord; Rétroviseurs extérieurs: Électriques, Rabattables, Dégivrants, Photosensibles, Mémoire de position, Noirs, Avec clignotants intégrés, Éclairage d'accueil à LED; Rétroviseur intérieur: Anti-éblouissement; Train roulant: Sport; Instrumentation digitale: Audi Virtual Cockpit, 11.9 pouces; Version pays chauds; Vitres électriques: Avant/Arrière",2026-04-14T23:29:21.551785
audi_q6_sportback_e_tron_100_kwh_quattro_s_line,Audi,Q6 Sportback e-tron,100 kWh Quattro S-line,Audi Q6 Sportback e-tron 100 kWh Quattro S-line,https://www.automobile.tn/fr/neuf/audi/q6-sportback-e-tron/100-kwh-quattro-s-line,279000,,,False,,9,388,855,210,5.9,electric,,,,,,automatic,,AWD,4771,1939,1648,,511,,SUV,5,5,3,True,False,100.0,630,False,False,,https://catalogue.automobile.tn/big/2025/10/47485.png?t=1772984403,"ABS; Airbags: Frontaux, Latéraux, Rideaux; Alarme antivol; Alerte de franchissement de ligne; Allumage automatique des feux; Anti-démarrage électronique; Anti-patinage; Assistance au freinage: AFU; Contrôle de pression des pneus; Fixations ISOFIX; Kit sécurité: Triangle de présignalisation","Aide au maintien dans la voie; Aide au stationnement: Radar de recul, Radar avant, Système de caméras 360, Audi Parking System Plus, Détection du trafic en marche arrière; Alerte de circulation transversale; Détecteur de fatigue; Direction assistée; Limiteur de vitesse; Régulateur de vitesse: Adaptatif (ACC)","Baguettes extérieures d'encadrement des vitres: Noir Brillant; Barres de toit: Noires; Boulons de roues protégés; Feux à LED: Feux de jour, Avant, Clignotants à défilement, Arrières OLED; Jantes: En aluminium, 20''; Kit carrosserie: S-line; Lave Phares; Phares: Audi Matrix LED, Signature LED","Autoradio: Haut-parleurs Bang & Olufsen, MMI Panoramic Display; Connectivité: USB, USB-C, Android Auto, Apple Carplay, Bluetooth, Commande vocale, Chargeur de téléphone sans fil; Ecran central: Tactile, Curved Display, 14.5 pouces; Ecran passager","Accoudoirs: Avant; Ciel de pavillon: Noir, Tissu; Finition intérieure: Inserts décoratifs à structure en micro-sergé de carbone; Kit rangement; Lumières d'ambiance: LED, 30 Couleurs; Pédaliers: Acier inoxydable brossé; Sellerie: Cuir/Microfibre Dinamica, Nappa, Surpiqures; Seuils de portes: Aluminium, Eclairés, S-line; Sièges: Électriques, Chauffants, Massants, Réglage lombaire, Fonction mémoire, Avec Appuie-tête intégrés, Sport; Sièges réglables en hauteur: Conducteur et passager; Tapis de sol; Tableau de bord: Cuir; Toit: Panoramique, En verre; Vitres: Parebrise athermique, Lunette et vitres arrières sur-teintées, Acoustiques; Volant: 3 branches, Chauffant, Multi-fonctions, Sport, Cuir Perforé, à méplat, Réglage électrique, Avec palettes; Volant réglable: En hauteur et en profondeur","Affichage tête haute: Avec réalité augmentée; Bouton Start & Stop: Démarrage mains libres; Clé intelligente: Accès mains libres; Coffre à bagages: Ouverture et fermeture motorisées; Climatisation: Automatique, 3 zones, Ventilation arrière; Détecteur de pluie; Freinage: Étriers rouges; Fermeture centralisée: À distance; Frein de stationnement: Éléctrique; Modes de conduite: Audi Drive Select; Ordinateur de bord; Rétroviseurs extérieurs: Électriques, Rabattables, Dégivrants, Photosensibles, Mémoire de position, Noirs, Avec clignotants intégrés, Éclairage d'accueil à LED; Rétroviseur intérieur: Anti-éblouissement; Suspension: Pneumatique, Adaptative; Instrumentation digitale: Audi Virtual Cockpit, 11.9 pouces; Version pays chauds; Vitres électriques: Avant/Arrière",2026-04-14T23:29:21.765788
audi_e_tron_gt_quattro,Audi,E-tron GT,Quattro,Audi E-tron GT Quattro,https://www.automobile.tn/fr/neuf/audi/e-tron-gt/quattro,340000,,,False,7241,10,476,630,245,4.1,electric,,,,,,automatic,,AWD,4990,1960,1410,,405,,Berline,4,5,3,True,False,93.0,487,False,False,,https://catalogue.automobile.tn/big/2023/08/46971.png?t=1772985459,"ABS; Airbags: Frontaux, Latéraux, Rideaux; Alarme antivol; Alerte de franchissement de ligne; Allumage automatique des feux; Anti-démarrage électronique; Anti-patinage; Contrôle de pression des pneus; Fixations ISOFIX; Kit sécurité: Triangle de présignalisation, Trousse de premiers secours","Aide au démarrage en côte; Aide au stationnement: Radar de recul, Radar avant, Système de caméras 360, Audi Parking System Plus; Limiteur de vitesse; Direction assistée: Electromécanique; Régulateur de vitesse: Adaptatif (ACC)","Eléments extérieurs couleur carrosserie; Feux à LED: Feux de jour, Avant, Arrières, Clignotants à défilement; Jantes: En aluminium, 21''; Phares: Audi Digital Matrix LED HD","Autoradio: Haut-parleurs Bang & Olufsen, MMI Navigation Plus, 16 haut-parleurs, Subwoofer; Connectivité: USB-C, Android Auto, Apple Carplay, Bluetooth, Chargeur de téléphone sans fil, Audi smartphone interface; Ecran central: 10.1 pouces, Tactile avec retour haptique","Accoudoirs: Avant; Ciel de pavillon: Noir; Finition intérieure: Style aluminium, Inserts décoratifs en Carbone Sergé Satiné; Lumières d'ambiance: 30 Couleurs; Sellerie: Cuir perforé, Surpiqures; Seuils de portes: Aluminium, Eclairés; Sièges: Électriques, Ventilés, Réglage lombaire, Fonction mémoire, Avec Appuie-tête intégrés, Sport; Sièges réglables en hauteur: Conducteur et passager; Tapis de sol; Tableau de bord: Cuir; Toit: Panoramique, En verre; Vitres: Parebrise athermique, Lunette et vitres arrières sur-teintées, Acoustiques; Volant: Cuir, 3 branches, Chauffant, Multi-fonctions, à méplat, Réglage électrique, Avec palettes; Volant réglable: En hauteur et en profondeur","Affichage tête haute; Alimentation électrique: 1 prise 12 V; Bouton Start & Stop: Démarrage mains libres; Clé intelligente: Accès mains libres; Coffre à bagages: Ouverture et fermeture motorisées, Ouverture mains libres; Climatisation: Automatique, 3 zones; Détecteur de pluie; Fermeture centralisée: À distance; Ordinateur de bord; Rétroviseurs extérieurs: Électriques, Rabattables, Dégivrants, Photosensibles, Mémoire de position; Rétroviseur intérieur: Anti-éblouissement, Sans Cadre; Instrumentation digitale: Audi Virtual Cockpit, 12.3 pouces; Suspension: Adaptive air suspension; Version pays chauds; Vitres électriques: Avant/Arrière",2026-04-14T23:29:21.667965
audi_q8_55_tfsi_quattro,Audi,Q8,55 TFSI Quattro,Audi Q8 55 TFSI Quattro,https://www.automobile.tn/fr/neuf/audi/q8/55-tfsi-tiptronic-quattro-2025,525000,,,False,2995,22,340,500,250,5.6,essence,8.9,,,,,automatic,,AWD,4994,1995,1707,,605,,SUV,5,5,3,False,False,,,False,False,,https://catalogue.automobile.tn/big/2025/01/47270.jpg?t=1768039951,"ABS; Airbags: Frontaux, Latéraux, Rideaux; Alarme antivol; Allumage automatique des feux; Anti-démarrage électronique; Anti-patinage: ESP; Assistance au freinage: AFU; Contrôle de pression des pneus; Fixations ISOFIX; Kit sécurité: Triangle de présignalisation","Aide au démarrage en côte: Audi hold assist; Aide au stationnement: Radar de recul, Radar avant, Système de caméras 360, Audi Parking System Plus; Direction assistée: Dynamique; Limiteur de vitesse; Régulateur de vitesse","Calandre: Noire; Boulons de roues protégés; Feux à LED: Feux de jour, Avant, Arrières, Clignotants à défilement; Jantes: En aluminium, 19''; Lave Phares; Peinture: Métallisée; Phares: Full LED","Autoradio: 17 haut-parleurs, Haut-parleurs Bang & Olufsen, MMI Navigation Plus, MMI Touch, Commandes au volant, 730 watts; Connectivité: Android Auto, Apple Carplay, Audi Music Interface, Bluetooth, Chargeur de téléphone sans fil, Audi smartphone interface; Ecran central: Tactile, 10.1 pouces","Accoudoirs: Avant, Arrière; Finition intérieure: Inserts décoratifs dimantés Gris Argent; Kit rangement; Lumières d'ambiance: LED, 30 Couleurs; Sellerie: Cuir; Seuils de portes: Aluminium; Sièges: Électriques, Réglage lombaire, Fonction mémoire; Stores pare-soleil: Pour lunette arrière, Pour vitres de portes arrières (électriques); Sièges réglables en hauteur: Conducteur et passager; Tapis de sol; Toit: Panoramique, En verre; Vitres: Parebrise athermique, Acoustiques; Volant: Cuir, 3 branches, Multi-fonctions; Volant réglable: En hauteur et en profondeur","Bouton Start & Stop: Démarrage mains libres; Clé intelligente: Accès mains libres; Coffre à bagages: Ouverture et fermeture motorisées, Ouverture mains libres, Cache Bagages, Seuil de chargement en métal; Climatisation: Automatique, 4 zones; Détecteur de pluie; Fermeture assistée des portes: Soft close; Fermeture centralisée: À distance; Frein de stationnement: Éléctrique; Modes de conduite: Audi Drive Select; Ordinateur de bord; Rétroviseurs extérieurs: Électriques, Rabattables, Dégivrants, Photosensibles, Mémoire de position; Rétroviseur intérieur: Anti-éblouissement, Sans Cadre; Système Start & Stop; Instrumentation digitale: Audi Virtual Cockpit, 12.3 pouces; Suspension: Adaptive air suspension; Version pays chauds; Vitres électriques: Avant/Arrière",2026-04-14T23:29:21.584912
audi_a3_sportback_35_tfsi_iconic_line,Audi,A3 Sportback,35 TFSI Iconic Line,Audi A3 Sportback 35 TFSI Iconic Line,https://www.automobile.tn/fr/neuf/audi/a3-sportback/35-tfsi-iconic-line,139990,,,False,1395,8,150,250,226,8.1,essence,5.4,,,,,automatic,,FWD,4352,1816,1441,,380,,Compacte,5,5,3,False,False,,,False,False,,https://catalogue.automobile.tn/big/2025/06/47386.png?t=1772106775,"ABS; Airbags: Frontaux, Latéraux, Protège-tête; Alarme antivol; Alerte de franchissement de ligne; Allumage automatique des feux; Anti-démarrage électronique; Anti-patinage: ESP; Contrôle de pression des pneus; Fixations ISOFIX; Kit sécurité: Triangle de présignalisation","Aide au démarrage en côte: Audi hold assist; Aide au stationnement: Radar de recul, Radar avant, Caméra de recul, Parkassist; Détecteur de fatigue; Direction assistée; Limiteur de vitesse; Régulateur de vitesse","Baguettes extérieures d'encadrement des vitres: Noir Mat; Boulons de roues protégés; Eléments extérieurs couleur carrosserie; Feux à LED: Feux de jour, Avant; Jantes: En aluminium, 17''; Phares: LED; Spoiler arrière","Autoradio: MMI Radio Plus, Commandes au volant; Connectivité: USB, USB-C, Android Auto, Apple Carplay, Bluetooth, Commande vocale, Chargeur de téléphone sans fil; Ecran central: Tactile, 10.1 pouces","Accoudoirs: Avant; Finition intérieure: Style aluminium, Applications décoratives en peinture fine Gris Volcan; Lumières d'ambiance: LED; Sellerie: Tissu; Seuils de portes: Aluminium; Sièges: Chauffants, Réglage lombaire; Sièges réglables en hauteur: Conducteur et passager; Tapis de sol; Vitres: Parebrise athermique; Volant: Cuir, 3 branches, Multi-fonctions, Avec palettes; Volant réglable: En hauteur et en profondeur","Bouton Start & Stop: Démarrage mains libres; Clé intelligente: Accès mains libres; Climatisation: Automatique, 3 zones, Ventilation arrière; Détecteur de pluie; Fermeture centralisée: À distance; Frein de stationnement: Éléctrique; Ordinateur de bord; Rétroviseurs extérieurs: Électriques, Rabattables, Dégivrants, Photosensibles, Avec clignotants intégrés; Rétroviseur intérieur: Anti-éblouissement, Sans Cadre; Système Start & Stop; Instrumentation digitale: Audi Virtual Cockpit, 10.25 pouces; Version pays chauds; Vitres électriques: Avant/Arrière",2026-04-14T23:29:22.007779
