id,listing_url,country,make,model,variant,full_name,price_eur,price_original_eur,vat_deductible,year,first_registration,mileage_km,previous_owners,condition,fuel_type,power_kw,power_hp,engine_cc,emission_class,co2_emissions,consumption_combined,transmission,gears,drivetrain,body_type,doors,seats,color_exterior,color_interior,features,safety_features,comfort_features,seller_type,seller_name,seller_location,seller_country,image_count,thumbnail,scraped_at,price_per_km,age_years
f3fa8a40-a3b5-4d7e-8e3f-d327a7ae0937,https://www.autoscout24.de/angebote/f3fa8a40-a3b5-4d7e-8e3f-d327a7ae0937,de,Volkswagen,golf,,Volkswagen Golf8 GTI Edition 50 2.0 TSI DSG | Area View |,67059,,True,,new,0,,new,petrol,239,325,1498,Euro 6,178,7.8,automatic,,Front,Limousine,4,5,Grün,,,,,dealer,AZA Autozentrale Ammerland GmbH,DE-26160 Bad Zwischenahn,DE,2,https://prod.pictures.autoscout24.net/listing-images/f3fa8a40-a3b5-4d7e-8e3f-d327a7ae0937_cd0151b7-17a1-4be9-b322-353883bd0fc6.jpg/250x188.webp,2026-05-03T05:22:54.904629,,
0a1250ff-7a31-4b00-bb3f-b05d7b37b1e6,https://www.autoscout24.de/angebote/0a1250ff-7a31-4b00-bb3f-b05d7b37b1e6,de,Peugeot,208,,Peugeot 2081.2PureTech 75 Active Pack+CARPLAY+TEMPO+PDC,11350,,True,2021,02-2021,38710,,used,petrol,40,55,1199,Euro 6d,,4.1,manual,,Front,Kleinwagen,5,5,Grau,,,,,dealer,Kamux Auto GmbH,DE-56427 Siershahn,DE,2,https://prod.pictures.autoscout24.net/listing-images/0a1250ff-7a31-4b00-bb3f-b05d7b37b1e6_f61858e3-edc6-42d7-ace2-3cf08e0fd451.jpg/250x188.webp,2026-05-03T05:22:54.904665,0.29,5
bc5bf3a0-8c11-40f3-b76d-efb51f75b25f,https://www.autoscout24.de/angebote/bc5bf3a0-8c11-40f3-b76d-efb51f75b25f,de,Renault,kangoo,,Renault KangooIII Techno,29980,,True,2026,04-2026,15,,new,petrol,70,96,1332,Euro 6d,152,6.7,manual,,Front,Van/Kleinbus,5,5,Grau,,,,,dealer,Venn Automobile,DE-52156 Monschau,DE,2,https://prod.pictures.autoscout24.net/listing-images/bc5bf3a0-8c11-40f3-b76d-efb51f75b25f_c9297cab-0968-4555-bd30-d6878de62ddf.jpg/250x188.webp,2026-05-03T05:22:54.904684,1998.67,0
4ce0beb1-aeca-45b1-b5ea-a4e702d0065e,https://www.autoscout24.de/angebote/4ce0beb1-aeca-45b1-b5ea-a4e702d0065e,de,Ford,tourneo custom,,"Ford Tourneo Custom320 L1 Active,ACC.AHK.Winter",39480,,True,2022,08-2022,34200,,used,diesel,96,130,1995,Euro 6d,,6.0,automatic,,Front,Van/Kleinbus,4,8,Schwarz,,,,,dealer,Auto Geissel Vertriebs GmbH,DE-06849 Dessau-Roßlau,DE,2,https://prod.pictures.autoscout24.net/listing-images/4ce0beb1-aeca-45b1-b5ea-a4e702d0065e_5cf93b16-9844-432c-871d-3c5e4489335c.jpg/250x188.webp,2026-05-03T05:22:54.904698,1.15,4
8c4af25a-54fe-4320-899f-6a8b96ee39ad,https://www.autoscout24.de/angebote/8c4af25a-54fe-4320-899f-6a8b96ee39ad,de,Renault,arkana,,Renault Arkana1.3 TCE EDC Intens LED Navi ACC Kamera,20950,,True,2022,01-2022,43279,,used,petrol,103,140,1333,Euro 6d-TEMP,124,6.0,automatic,,,SUV/Geländewagen/Pickup,5,5,Blau,,,,,dealer,Autoland,DE-01069 Dresden,DE,2,https://prod.pictures.autoscout24.net/listing-images/8c4af25a-54fe-4320-899f-6a8b96ee39ad_f57e15f7-82b4-406b-a856-f9360987865c.jpg/250x188.webp,2026-05-03T05:22:54.904715,0.48,4
bbba9ced-39d3-4a4a-8847-9a6507274fde,https://www.autoscout24.de/angebote/bbba9ced-39d3-4a4a-8847-9a6507274fde,de,Mercedes-Benz,gla 200,,Mercedes-Benz GLA 200Progressive Line*Winter Paket,36870,,True,2025,03-2025,4000,,used,petrol,120,163,1332,,148,6.5,automatic,,,SUV/Geländewagen/Pickup,5,5,Weiß,,,,,dealer,Autohaus Peter GmbH,DE-06847 Dessau-Roßlau,DE,2,https://prod.pictures.autoscout24.net/listing-images/bbba9ced-39d3-4a4a-8847-9a6507274fde_344d0588-8ef1-4812-b8a9-7da9f017f84f.jpg/250x188.webp,2026-05-03T05:22:54.904725,9.22,1
e6e4ac71-ed6f-457d-8005-ebe0bfb4f863,https://www.autoscout24.de/angebote/e6e4ac71-ed6f-457d-8005-ebe0bfb4f863,de,Peugeot,3008,,Peugeot 3008GT Autom AHK ACC LED KeyFree Kamera,25980,,True,2024,02-2024,17500,,used,hybrid,100,136,1199,Euro 6d,,6.0,automatic,,Front,SUV/Geländewagen/Pickup,4,5,Schwarz,,,,,dealer,Auto Geissel Vertriebs GmbH,DE-06849 Dessau-Roßlau,DE,2,https://prod.pictures.autoscout24.net/listing-images/e6e4ac71-ed6f-457d-8005-ebe0bfb4f863_f5571da4-1330-46dd-a5fb-aed8cfd16276.jpg/250x188.webp,2026-05-03T05:22:54.904733,1.48,2
96317be5-1ba2-4341-82bb-c242c54d127d,https://www.autoscout24.de/angebote/96317be5-1ba2-4341-82bb-c242c54d127d,de,Mercedes-Benz,e 53 amg,,Mercedes-Benz E 53 AMGT 4M+ NIGHT PREMIUM,94870,,True,2025,02-2025,17853,,used,hybrid,430,584,2999,Euro 6,21,0.9,automatic,,AWD,Kombi,5,5,Schwarz,,,,,dealer,Autohaus Winterfell,DE-12351 Berlin,DE,3,https://prod.pictures.autoscout24.net/listing-images/96317be5-1ba2-4341-82bb-c242c54d127d_fd9ffaa6-f23d-4652-99aa-cbfdd22b2459.jpg/250x188.webp,2026-05-03T05:22:54.904747,5.31,1
289d920f-af6e-496e-bc30-63e83402274a,https://www.autoscout24.de/angebote/289d920f-af6e-496e-bc30-63e83402274a,de,Cupra,formentor,,"CUPRA Formentor2.0 TDI DSG 3,49% Navi Digitales Cockpit 360",34925,,True,2025,06-2025,30506,,used,diesel,110,149,1968,Euro 6,141,5.4,automatic,,Front,SUV/Geländewagen/Pickup,5,5,Weiß,,,,,dealer,Zemke Autohaus Bernau GmbH,DE-16515 Oranienburg,DE,2,https://prod.pictures.autoscout24.net/listing-images/289d920f-af6e-496e-bc30-63e83402274a_5d7cce95-6555-4620-a8d3-77ccd71dc1c2.jpg/250x188.webp,2026-05-03T05:22:54.904756,1.14,1
42e35ca9-81b7-4092-bfa0-de6132531ca5,https://www.autoscout24.de/angebote/42e35ca9-81b7-4092-bfa0-de6132531ca5,de,BMW,x6 m,,BMW X6 MCompetition 360° Fond-Ent SoftCl Individual,82499,,True,2022,09-2022,50482,,used,petrol,460,625,4395,Euro 6d,301,6.0,automatic,,AWD,SUV/Geländewagen/Pickup,5,5,Blau,,,,,dealer,Autoland Celle GmbH & Co. KG,DE-29225 Celle,DE,2,https://prod.pictures.autoscout24.net/listing-images/42e35ca9-81b7-4092-bfa0-de6132531ca5_19a34a6e-83b4-43c8-8eb2-0db7ca55d7ed.jpg/250x188.webp,2026-05-03T05:22:54.904764,1.63,4
