id,listing_url,country,make,model,variant,full_name,price_eur,price_original_eur,vat_deductible,year,first_registration,mileage_km,previous_owners,condition,fuel_type,power_kw,power_hp,engine_cc,emission_class,co2_emissions,consumption_combined,transmission,gears,drivetrain,body_type,doors,seats,color_exterior,color_interior,features,safety_features,comfort_features,seller_type,seller_name,seller_location,seller_country,image_count,thumbnail,scraped_at,price_per_km,age_years
6e0dc181-8570-415a-95db-139a9b59fba2,https://www.autoscout24.be/fr/offres/6e0dc181-8570-415a-95db-139a9b59fba2,be,Audi,rs3,,Audi RS3MTM Sportback 2.5 TFSI Quattro S tronic +,79546,,True,2026,07-2026,700,1,used,petrol,401,546,2480,Euro 6e,,6.0,,,AWD,Berline,5,5,Gris,,,,,dealer,TAN - The Automotive Nursery,BE-5000 NAMUR,BE,2,https://prod.pictures.autoscout24.net/listing-images/6e0dc181-8570-415a-95db-139a9b59fba2_de843e5f-33a4-4915-ae84-5b144e6e4e17.jpg/250x188.webp,2026-09-19T07:09:40.753843,113.64,0
6743cc31-358f-4e97-892b-0dc6959317d1,https://www.autoscout24.be/fr/offres/6743cc31-358f-4e97-892b-0dc6959317d1,be,Mercedes-Benz,v 300,,Mercedes-Benz V 300V300d 4Matic AMG-Line | Dubbele Cabine,80995,,True,2025,10-2025,14000,1,used,diesel,127,174,1950,Euro 6e,,6.0,,,AWD,Monospace,5,5,Argent,,,,,dealer,Autofest Bv,BE-8020 Oostkamp,BE,2,https://prod.pictures.autoscout24.net/listing-images/6743cc31-358f-4e97-892b-0dc6959317d1_10c2ec8b-593e-44cb-afb3-9dba48555930.jpg/250x188.webp,2026-09-19T07:09:40.753877,5.79,1
dacfde57-227b-4fc5-b1d0-8fb9ed7426ad,https://www.autoscout24.be/fr/offres/dacfde57-227b-4fc5-b1d0-8fb9ed7426ad,be,Audi,e-tron gt,,Audi e-tron GTS quattro 105kWh SOH 98%,89999,,True,2024,11-2024,33000,,used,electric,105,142,,Euro 6e,,6.0,,,AWD,Berline,4,5,Gris,,,,,dealer,Exclusive Car Design BV,BE-9300 Aalst,BE,2,https://prod.pictures.autoscout24.net/listing-images/dacfde57-227b-4fc5-b1d0-8fb9ed7426ad_6a623e36-589f-462a-89cd-b9f3347c6f7c.jpg/250x188.webp,2026-09-19T07:09:40.753894,2.73,2
a8306dd0-666d-4eaf-862d-0b0c626d94e0,https://www.autoscout24.be/fr/offres/a8306dd0-666d-4eaf-862d-0b0c626d94e0,be,Porsche,macan,,Porsche Macane-Macan 4 / 100 kWh,78900,,True,2024,09-2024,9900,1,used,electric,73,100,,,,9516.0,,,AWD,SUV/4x4/Pick-Up,5,5,Type de peintureMétalliséIntérieurCuir,,,,,dealer,Amotors,BE-8730 Beernem,BE,2,https://prod.pictures.autoscout24.net/listing-images/a8306dd0-666d-4eaf-862d-0b0c626d94e0_d3a541c0-b528-49b6-b8fe-82c7524c83bf.jpg/250x188.webp,2026-09-19T07:09:40.753908,7.97,2
29eed65a-cc79-4377-b975-59aa0e78245b,https://www.autoscout24.be/fr/offres/29eed65a-cc79-4377-b975-59aa0e78245b,be,BMW,m3,,BMW M33.0 xDrive M Competition - CARBON - 1ERPRO - FULL,79990,,True,2025,01-2025,29000,1,used,petrol,375,510,2993,Euro 6d,,6.0,,,AWD,Berline,4,5,Noir,,,,,dealer,A.B Cars,BE-7033 Mons,BE,2,https://prod.pictures.autoscout24.net/listing-images/29eed65a-cc79-4377-b975-59aa0e78245b_9977d890-5eef-42fd-867b-a70ea1f39034.jpg/250x188.webp,2026-09-19T07:09:40.753920,2.76,1
1a82381e-5bd9-4865-ad41-deb5baa99b6e,https://www.autoscout24.be/fr/offres/1a82381e-5bd9-4865-ad41-deb5baa99b6e,be,Ineos,grenadier,,Ineos GrenadierGrenadier 3.0 Turbo Fieldmaster Edition -,65945,,True,2025,07-2025,1350,,used,diesel,184,250,2993,Euro 6d,,6.0,,,Boîte automatique,SUV/4x4/Pick-Up,5,5,Gris,,,,,dealer,MKmotiv,BE-3190 Boortmeerbeek,BE,2,https://prod.pictures.autoscout24.net/listing-images/1a82381e-5bd9-4865-ad41-deb5baa99b6e_14c46f8e-4a52-44ce-bed9-4c62ce660092.jpg/250x188.webp,2026-09-19T07:09:40.753929,48.85,1
77599349-bd83-4855-9f31-3d291b3744fe,https://www.autoscout24.be/fr/offres/77599349-bd83-4855-9f31-3d291b3744fe,be,Aston Martin,dbx,,Aston Martin DBX1 OWNER*14m ASTON WARRANTY*FULL SERVICE,85900,,True,2021,07-2021,137548,1,used,petrol,405,550,3982,Euro 6,,6.0,,,AWD,SUV/4x4/Pick-Up,5,5,Bleu,,,,,dealer,PerformAuto BV,BE-8890 Dadizele,BE,2,https://prod.pictures.autoscout24.net/listing-images/77599349-bd83-4855-9f31-3d291b3744fe_cf179be3-284d-46ad-a3e3-ccf133cc31be.jpg/250x188.webp,2026-09-19T07:09:40.753937,0.62,5
901014eb-f8cd-4a29-9529-fe95747a5de7,https://www.autoscout24.be/fr/offres/901014eb-f8cd-4a29-9529-fe95747a5de7,be,Porsche,taycan,,Porsche Taycan4S ST*93.4kWh*PERF-BATT*PANO*LUCHTV.*BTW,61900,,True,2022,06-2022,56972,1,used,electric,308,420,0,,,20.0,,,AWD,Break,5,5,Gris,,,,,dealer,FALCOMOTIVE,BE-3800 Sint-Truiden,BE,2,https://prod.pictures.autoscout24.net/listing-images/901014eb-f8cd-4a29-9529-fe95747a5de7_117128d3-f96f-4edd-9404-6d5436eb31af.jpg/250x188.webp,2026-09-19T07:09:40.753945,1.09,4
2973c5bc-19c4-41b9-ac10-1904ff8bc9b5,https://www.autoscout24.be/fr/offres/2973c5bc-19c4-41b9-ac10-1904ff8bc9b5,be,Mercedes-Benz,gle 53 amg,,Mercedes-Benz GLE 53 AMGGLE 53 AMG l 4-Matic l,58999,,True,2020,01-2020,117550,2,used,petrol,320,435,2999,Euro 6d,,6.0,,,AWD,SUV/4x4/Pick-Up,5,5,Obsidiaanzwart,,,,,dealer,GDCauto,BE-9620 Zottegem,BE,2,https://prod.pictures.autoscout24.net/listing-images/2973c5bc-19c4-41b9-ac10-1904ff8bc9b5_5d481678-2d86-4564-ab90-ff7e1f4c8437.jpg/250x188.webp,2026-09-19T07:09:40.753953,0.5,6
b9892527-c101-49cc-ad44-32b6f18602ea,https://www.autoscout24.be/fr/offres/b9892527-c101-49cc-ad44-32b6f18602ea,be,Land Rover,range rover velar,,Land Rover Range Rover VelarP400e 4WD Auto S,76809,,True,2026,08-2026,4489,,used,hybrid,297,403,1997,,,2104.0,,,AWD,SUV/4x4/Pick-Up,5,5,Noir,,,,,dealer,JLR Louyet Namur,BE-5101 Namur (Erpent),BE,2,https://prod.pictures.autoscout24.net/listing-images/b9892527-c101-49cc-ad44-32b6f18602ea_80f1ba6b-f91c-43cc-87a2-514ce1a7a825.jpg/250x188.webp,2026-09-19T07:09:40.753961,17.11,0
a4be90d3-ac9b-46ee-97d6-76093da80a0c,https://www.autoscout24.be/fr/offres/a4be90d3-ac9b-46ee-97d6-76093da80a0c,be,Porsche,panamera,,Porsche Panamera4 e-Hybrid l Pano Dak l Luchtvering l,49999,,True,2018,03-2018,129890,2,used,hybrid,249,340,2894,Euro 6b,,6.0,,,AWD,Berline,5,4,Gris,,,,,dealer,GDCauto,BE-9620 Zottegem,BE,2,https://prod.pictures.autoscout24.net/listing-images/a4be90d3-ac9b-46ee-97d6-76093da80a0c_b738e5bc-6730-47ac-9e16-2973cedb7212.jpg/250x188.webp,2026-09-19T07:09:40.753969,0.38,8
5d4641bf-bd7d-41b4-a16b-8a0c05b91b64,https://www.autoscout24.be/fr/offres/5d4641bf-bd7d-41b4-a16b-8a0c05b91b64,be,Porsche,taycan,,Porsche TaycanSport Turismo 105 kWh,85990,,True,2025,03-2025,16620,1,used,electric,77,105,,Euro 6d-TEMP,,6.0,,,Arrière,Break,5,5,Gris,,,,,dealer,Legend Car,BE-1790 Affligem,BE,2,https://prod.pictures.autoscout24.net/listing-images/5d4641bf-bd7d-41b4-a16b-8a0c05b91b64_319fbb15-0396-4c71-9c9f-6e6884d348ce.jpg/250x188.webp,2026-09-19T07:09:40.753976,5.17,1
33cf6593-08d4-497c-b80e-57cec06051bf,https://www.autoscout24.be/fr/offres/33cf6593-08d4-497c-b80e-57cec06051bf,be,Porsche,panamera,,Porsche Panamera4*SPORT TURISMO*HYBRID*21%BTW*FULL,55500,,True,2018,03-2018,129514,1,used,hybrid,249,340,2894,Euro 6b,,6.0,,,AWD,Break,5,5,Gris,,,,,dealer,PerformAuto BV,BE-8890 Dadizele,BE,2,https://prod.pictures.autoscout24.net/listing-images/33cf6593-08d4-497c-b80e-57cec06051bf_16c46c0c-4170-4071-83db-33b41c9d96a8.jpg/250x188.webp,2026-09-19T07:09:40.753983,0.43,8
a66f8f5b-bd3b-48d4-951e-dc4932a5f782,https://www.autoscout24.be/fr/offres/a66f8f5b-bd3b-48d4-951e-dc4932a5f782,be,Porsche,taycan,,Porsche TaycanGTS Coupe 93.4 kWh,78999,,True,2023,09-2023,49000,,used,electric,323,440,,Euro 6,,6.0,,,AWD,Berline,4,4,Gris,,,,,dealer,Exclusive Car Design BV,BE-9300 Aalst,BE,2,https://prod.pictures.autoscout24.net/listing-images/a66f8f5b-bd3b-48d4-951e-dc4932a5f782_cd2a3368-20f0-4564-bd1f-1d611d9acb1d.jpg/250x188.webp,2026-09-19T07:09:40.753992,1.61,3
002b5373-0fd4-4725-9661-6fc32b1efbe1,https://www.autoscout24.be/fr/offres/002b5373-0fd4-4725-9661-6fc32b1efbe1,be,Audi,q8,,Audi Q860 TFSIe HYBRIDE / COMPETITION / CRUISE / CAMERA,88900,,True,2024,07-2024,9000,1,used,hybrid,360,489,2995,Euro 6e,,6.0,,,AWD,SUV/4x4/Pick-Up,5,5,Gris,,,,,dealer,Amotors,BE-8730 Beernem,BE,2,https://prod.pictures.autoscout24.net/listing-images/002b5373-0fd4-4725-9661-6fc32b1efbe1_1b152453-a1cd-48fd-9552-3ee1b7a35c46.jpg/250x188.webp,2026-09-19T07:09:40.754000,9.88,2
